               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03428,            0.012334,           0.0095869,             0.93613,                   1,             0.96269,             0.70248,           0.0079073,           0.0027201,          0.00052456,            0.004225,            0.004225,            0.004225
                  37,            0.021781,            0.010582,           0.0063585,             0.95612,                   1,              0.9775,             0.72975,           0.0090022,           0.0027397,          0.00048442,             0.00406,             0.00406,             0.00406
                  38,            0.033791,            0.012905,            0.012853,             0.99049,              0.9989,               0.995,             0.74161,           0.0078708,           0.0027577,          0.00044255,            0.003895,            0.003895,            0.003895
                  39,            0.035246,            0.011588,            0.011209,              0.9891,             0.99834,               0.995,             0.76824,           0.0072655,           0.0027979,          0.00042218,             0.00373,             0.00373,             0.00373
                  40,             0.02004,            0.011007,           0.0052349,             0.98951,             0.99999,               0.995,             0.74547,           0.0079238,           0.0027094,           0.0004523,            0.003565,            0.003565,            0.003565
                  41,            0.024129,            0.011425,           0.0062785,             0.98699,                   1,               0.995,             0.72704,           0.0083929,           0.0026222,           0.0004556,              0.0034,              0.0034,              0.0034
                  42,            0.024338,            0.011073,           0.0089929,             0.98868,                   1,               0.995,             0.68968,           0.0088602,           0.0025448,          0.00043497,            0.003235,            0.003235,            0.003235
                  43,            0.021516,            0.011423,           0.0050639,             0.98173,                   1,               0.995,             0.72785,           0.0085871,           0.0026207,          0.00046198,             0.00307,             0.00307,             0.00307
                  44,            0.023593,            0.010781,           0.0051381,             0.97125,             0.99167,               0.995,              0.7071,           0.0080659,           0.0025307,          0.00047147,            0.002905,            0.002905,            0.002905
                  45,             0.02205,            0.010362,           0.0074738,             0.98114,             0.99334,               0.995,             0.79534,           0.0084371,           0.0024541,          0.00047055,             0.00274,             0.00274,             0.00274
                  46,            0.022998,            0.009505,            0.008222,             0.98561,             0.99701,               0.995,             0.78654,            0.005793,           0.0023703,          0.00046522,            0.002575,            0.002575,            0.002575
                  47,            0.027447,            0.010478,            0.011186,             0.98872,             0.99535,               0.995,             0.80679,           0.0059699,           0.0024107,           0.0004313,             0.00241,             0.00241,             0.00241
                  48,            0.017624,            0.010064,           0.0036011,             0.99052,             0.99747,               0.995,             0.78937,           0.0054006,           0.0024295,          0.00042768,            0.002245,            0.002245,            0.002245
                  49,            0.022478,            0.010337,           0.0068963,             0.98887,             0.99596,               0.995,             0.79629,            0.005612,             0.00242,          0.00040798,             0.00208,             0.00208,             0.00208
                  50,            0.022323,            0.010268,           0.0050571,             0.99012,             0.99802,               0.995,             0.82757,           0.0052803,           0.0024633,          0.00038917,            0.001915,            0.001915,            0.001915
                  51,            0.022599,            0.010273,             0.00814,             0.99353,                   1,               0.995,              0.8368,           0.0053893,           0.0024974,          0.00037063,             0.00175,             0.00175,             0.00175
                  52,            0.015813,           0.0093173,            0.002583,              0.9936,                   1,               0.995,             0.79892,           0.0063008,              0.0025,          0.00034648,            0.001585,            0.001585,            0.001585
                  53,            0.020082,           0.0095737,           0.0047674,             0.99397,                   1,               0.995,             0.84659,           0.0054867,           0.0024811,          0.00032693,             0.00142,             0.00142,             0.00142
                  54,            0.019214,           0.0099595,           0.0073585,             0.99348,                   1,               0.995,             0.86672,           0.0051591,           0.0024362,          0.00030488,            0.001255,            0.001255,            0.001255
                  55,            0.020099,            0.011174,           0.0049855,             0.99274,              0.9993,               0.995,             0.81129,           0.0065236,           0.0025315,          0.00028819,             0.00109,             0.00109,             0.00109
                  56,            0.021097,            0.010632,           0.0085049,             0.99366,                   1,               0.995,             0.86289,           0.0049402,           0.0025119,          0.00026843,            0.000925,            0.000925,            0.000925
                  57,            0.025325,            0.010742,           0.0078463,              0.9927,                   1,               0.995,             0.88207,           0.0048662,           0.0025359,           0.0002585,             0.00076,             0.00076,             0.00076
                  58,            0.016063,           0.0096769,           0.0034269,             0.99169,                   1,               0.995,             0.87194,           0.0048555,             0.00251,          0.00024878,            0.000595,            0.000595,            0.000595
                  59,            0.019057,            0.011208,           0.0053147,             0.99163,                   1,               0.995,             0.88612,           0.0045693,           0.0025152,          0.00024341,             0.00043,             0.00043,             0.00043
